Name,iso_code,genus,family
Kualan,sdm,Land Dayak,Austronesian
Laha,lha,Kadai,Tai-Kadai
Lamnso',lns,Bantoid,Niger-Congo
Língua Gestual Portuguesa,psr,Sign Languages,other
Loma,lom,Western Mande,Mande
Gorontalo,gor,Greater Central Philippine,Austronesian
Ibanag,ibg,Northern Luzon,Austronesian
Mali,gcc,Baining,Baining
Manambu,mle,Ndu,Sepik
Mandaic (Modern),mid,Semitic,Afro-Asiatic
Maninka,emk,Western Mande,Mande
Mankanya,knf,Bak,Niger-Congo
Martinique Creole,gcf,Creoles and Pidgins,other
Matukar,mjk,Oceanic,Austronesian
Mbe',mtk,Bantoid,Niger-Congo
Michif,crg,Algonquian,Algic
Mískito Coast English Creole,bzj,Creoles and Pidgins,other
Mixtec (Alacatlatzala),mim,Mixtecan,Oto-Manguean
Molala,mbe,Molala,Penutian
Moldavian,ron,Romance,Indo-European
Mudburra,dmw,Western Pama-Nyungan,Pama-Nyungan
Muher,sgw,Semitic,Afro-Asiatic
Mun,mji,Hmong-Mien,Hmong-Mien
Muong,mtq,Viet-Muong,Austro-Asiatic
Nahuatl (Central),nhn,Aztecan,Uto-Aztecan
Nahuatl (Pochutla),NA,Aztecan,Uto-Aztecan
Nanticoke,nnt,Algonquian,Algic
Nenets,yrk,Samoyedic,Uralic
Neo-Aramaic (Amadiya),cld,Semitic,Afro-Asiatic
Ngarinyman,nbj,Western Pama-Nyungan,Pama-Nyungan
Ngemba,nge,Bantoid,Niger-Congo
Nicobarese,ncb,Nicobarese,Austro-Asiatic
Keo,xxk,Central Malayo-Polynesian,Austronesian
Noghay (Karagash),nog,Turkic,Altaic
Norsk Tegnspråk,nsl,Sign Languages,other
Nuni (Northern),nuv,Southern-Central Gur,Niger-Congo
Oi,oyb,Bahnaric,Austro-Asiatic
Oku,oku,Bantoid,Niger-Congo
Omagua,omg,Tupi-Guaraní,Tupian
Emai,ema,Edoid,Niger-Congo
Paite,pck,Kuki-Chin,Sino-Tibetan
Pakanha,pkn,Northern Pama-Nyungan,Pama-Nyungan
Pingilapese,pif,Oceanic,Austronesian
Plains-Indians Sign Language,psd,Sign Languages,other
Príncipense,pre,Creoles and Pidgins,other
Provençal,oci,Romance,Indo-European
Quechua (Bolivian),quh,Quechuan,Quechuan
Quechua (Bolivian),qul,Quechuan,Quechuan
Raga,lml,Oceanic,Austronesian
Romani (Bugurdzi),rmn,Indic,Indo-European
Romani (Burgenland),rmo,Indic,Indo-European
Romani (Lovari),rmy,Indic,Indo-European
Saanich,str,Central Salish,Salishan
Saek,skb,Kam-Tai,Tai-Kadai
Salish (Straits),str,Central Salish,Salishan
Saryg Yughur,ybe,Turkic,Altaic
Semandang,sdm,Land Dayak,Austronesian
Shoshone (Wind River),shh,Numic,Uto-Aztecan
Sika,ski,Central Malayo-Polynesian,Austronesian
Songish,str,Central Salish,Salishan
Sooke,str,Central Salish,Salishan
Spanish (Canary Islands),spa,Romance,Indo-European
Swedish (Västerbotten),swe,Germanic,Indo-European
Siraya,fos,East Formosan,Austronesian
Tamil (Spoken),tam,Southern Dravidian,Dravidian
Tatar (Baraba),tat,Turkic,Altaic
Tatar (Mishar),tat,Turkic,Altaic
Tatar-Noghay (Alabugat),nog,Turkic,Altaic
Taulil,tuh,Taulil,Taulil
Tayo,cks,Creoles and Pidgins,other
Tepecano,tep,Tepiman,Uto-Aztecan
Thao,ssf,Western Plains Austronesian,Austronesian
Tindi,tin,Avar-Andic-Tsezic,Nakh-Daghestanian
Tod,sbu,Bodic,Sino-Tibetan
Tumak,tmc,East Chadic,Afro-Asiatic
Turkic (East-Central Xorasan),kmz,Turkic,Altaic
Turkic (West Xorasan),kmz,Turkic,Altaic
Twana,twa,Central Salish,Salishan
Ulcha,ulc,Tungusic,Altaic
Umaua,cbd,Cariban,Cariban
Urhobo,urh,Edoid,Niger-Congo
Urubú Sign Language,uks,Sign Languages,other
Urum,uum,Turkic,Altaic
Vata,dic,Kru,Niger-Congo
Veps,vep,Finnic,Uralic
Wéménugbé,wem,Kwa,Niger-Congo
Xasonga,kao,Western Mande,Mande
Yaghnobi,yai,Iranian,Indo-European
Yamba,yam,Bantoid,Niger-Congo
Yanomámi,wca,Yanomam,Yanomam
Yemba,ybb,Bantoid,Niger-Congo
Yiddish (Bessarabian),ydd,Germanic,Indo-European
Yiddish (Lithuanian),ydd,Germanic,Indo-European
Yiddish (Lodz),ydd,Germanic,Indo-European
Yugh,yug,Yeniseian,Yeniseian
Yuracare,yuz,Yuracare,Yuracare
Yurimangí,NA,Yurimangí,Yurimangí
Yurt Tatar,nog,Turkic,Altaic
Zapotec (Ixtlan),zpd,Zapotecan,Oto-Manguean
Zhuang (Northern),zgb,Kam-Tai,Tai-Kadai
Zoque (Rayon),zor,Mixe-Zoque,Mixe-Zoque
Shughni,sgh,Iranian,Indo-European
Zulu (Northern),zul,Bantoid,Niger-Congo
Zulu (Southern),zul,Bantoid,Niger-Congo
Abenaki (Western),abe,Algonquian,Algic
Adamorobe Sign Language,ads,Sign Languages,other
Adyghe (Temirgoy),ady,Northwest Caucasian,Northwest Caucasian
Ajië,aji,Oceanic,Austronesian
Akhvakh,akv,Avar-Andic-Tsezic,Nakh-Daghestanian
Algonquin,alq,Algonquian,Algic
Amdo,adx,Bodic,Sino-Tibetan
American Sign Language,ase,Sign Languages,other
'Are'are,alu,Oceanic,Austronesian
Atikamekw,atj,Algonquian,Algic
Auslan,asf,Sign Languages,other
Bade,bde,West Chadic,Afro-Asiatic
Bandjalang (Casino),bdy,Southeastern Pama-Nyungan,Pama-Nyungan
Bau,bbd,Madang,Trans-New Guinea
Benabena,bef,Eastern Highlands,Trans-New Guinea
Beng,nhb,Eastern Mande,Mande
Bengali (Chittagong),ctg,Indic,Indo-European
Beothuk,bue,Beothuk,Beothuk
Berber (Mzab),mzb,Berber,Afro-Asiatic
Birri,bvq,Bongo-Bagirmi,Central Sudanic
Bislama,bis,Creoles and Pidgins,other
Boruca,brn,Talamanca,Chibchan
British Sign Language,bfi,Sign Languages,other
Bujeba,nmg,Bantoid,Niger-Congo
Cabécar,cjp,Talamanca,Chibchan
Canamarí,knm,Katukinan,Katukinan
Canela,ram,Ge-Kaingang,Macro-Ge
Carolinian,cal,Oceanic,Austronesian
Catio,cto,Choco,Choco
Chimila,cbg,Chimila,Chibchan
Chinantec (San Felipe Usila),cuc,Chinantecan,Oto-Manguean
Chinantec (Tepetotutla),cnt,Chinantecan,Oto-Manguean
Chinese Sign Language,csl,Sign Languages,other
Colac,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Comecrudo,xcm,Comecrudan,Comecrudan
Comorian,swb,Bantoid,Niger-Congo
Cuicatec,cut,Mixtecan,Oto-Manguean
Cuicatec,cux,Mixtecan,Oto-Manguean
Cuitlatec,NA,Cuitlatec,Cuitlatec
Datooga,tcc,Nilotic,Eastern Sudanic
Degexit'an,ing,Athapaskan,Na-Dene
Dyula,dyu,Western Mande,Mande
Enya,gey,Bantoid,Niger-Congo
Ewe (Anglo),ewe,Kwa,Niger-Congo
Finnish Sign Language,fse,Sign Languages,other
Fula (Senegal),fuc,Peul-Serer,Niger-Congo
Greek Sign Language,gss,Sign Languages,other
Greenlandic (South),kal,Eskimo,Eskimo-Aleut
Guana,gva,Mascoian,Mascoian
Guayabero,guo,Guahiban,Guahiban
Gula Iro,glj,Bua,Niger-Congo
Gurindji,gue,Western Pama-Nyungan,Pama-Nyungan
Gurma,gux,Northern-Central Gur,Niger-Congo
Harsusi,hss,Semitic,Afro-Asiatic
Hong Kong Sign Language,NA,Sign Languages,other
Huambisa,hub,Jivaroan,Jivaroan
Icelandic Sign Language,icl,Sign Languages,other
Illinois,mia,Algonquian,Algic
Inanwatan,szp,Inanwatan,South Bird's Head
Indo-Pakistani Sign Language (Indian dialects),ins,Sign Languages,other
Inuktitut (Rankin Inlet),ikt,Eskimo,Eskimo-Aleut
Irish Sign Language,isg,Sign Languages,other
Israeli Sign Language,isr,Sign Languages,other
Ixcatec,ixc,Popolocan,Oto-Manguean
Jahai,jhi,Aslian,Austro-Asiatic
Jemez,tow,Kiowa-Tanoan,Kiowa-Tanoan
Juang,jun,Munda,Austro-Asiatic
Kaian,kct,Lower Ramu,Lower Sepik-Ramu
Kalanga,kck,Bantoid,Niger-Congo
Kalasha,kls,Indic,Indo-European
Kangiryuarmiut,ikt,Eskimo,Eskimo-Aleut
Kanjobal (Eastern),kjb,Mayan,Mayan
Kanyok,kny,Bantoid,Niger-Congo
Kapingamarangi,kpg,Oceanic,Austronesian
Karanga,sna,Bantoid,Niger-Congo
Karipuna (Panoan),NA,Panoan,Panoan
Kata Kolok,bqy,Sign Languages,other
Kato,ktw,Athapaskan,Na-Dene
Kaurna,NA,Central Pama-Nyungan,Pama-Nyungan
Kenyang,ken,Bantoid,Niger-Congo
Khumi,cnk,Kuki-Chin,Sino-Tibetan
Kilba,hbb,Biu-Mandara,Afro-Asiatic
Kituba,ktu,Creoles and Pidgins,other
Kolana,kvw,Kolana-Tanglapui,Timor-Alor-Pantar
Korafe,kpr,Binanderean,Trans-New Guinea
Ksingmul,puo,Khmuic,Austro-Asiatic
Kutchin,gwi,Athapaskan,Na-Dene
Lachi,lbt,Kadai,Tai-Kadai
Ladin,lld,Romance,Indo-European
Langue des Signes Française,fsl,Sign Languages,other
Langue des Signes Québecoise,fcs,Sign Languages,other
Lardil,lbz,Tangkic,Tangkic
Lau,llu,Oceanic,Austronesian
Curripaco,kpc,Inland Northern Arawakan,Arawakan
Lengua de Señas Española,ssp,Sign Languages,other
Lese,les,Mangbutu-Efe,Central Sudanic
Lesser Antillean French Creole,acf,Creoles and Pidgins,other
Lesser Antillean French Creole,gcf,Creoles and Pidgins,other
Língua de Sinais Brasileira,bzs,Sign Languages,other
Lingua Italiana dei Segni,ise,Sign Languages,other
Lobi,lob,Southern-Central Gur,Niger-Congo
Logoti,log,Moru-Ma'di,Central Sudanic
Loko,lok,Western Mande,Mande
Lughat al-Isharat al-Lubnaniya,NA,Sign Languages,other
Lyele,lee,Southern-Central Gur,Niger-Congo
Macaguán,mbn,Guahiban,Guahiban
Macuna,myy,Tucanoan,Tucanoan
Mahican,xpq,Algonquian,Algic
Máku,NA,Máku,Máku
Manjaku,mfv,Bak,Niger-Congo
Mapoyo,mcg,Cariban,Cariban
Mattole,mvb,Athapaskan,Na-Dene
Miju,mxj,Tani,Sino-Tibetan
Mikarew,msy,Mikarew,Lower Sepik-Ramu
Mingrelian,xmf,Kartvelian,Kartvelian
Mituku,zmq,Bantoid,Niger-Congo
Miwok (Bodega),csi,Miwok,Penutian
Miwok (Lake),lmw,Miwok,Penutian
Miwok (Plains),pmw,Miwok,Penutian
Mixe (Tlahuitoltepec),mxp,Mixe-Zoque,Mixe-Zoque
Mixtec (Chayuco),mih,Mixtecan,Oto-Manguean
